combined,sentiment
"Was served by a female staff in her 40s and was treated differently compared to a customer who came after me. When I approached her with my order courteously, she just went, ""TraceTogether"" with a completely deadpan expression. Just as I …",1
Edited update- After few days the review below was posted I received an email from their online team to address the issue we faced. We exchanged several emails and the company refund in full to us due to the reason of “under standard “ …,1
Waited 30 mins and food not here. Restaurant was less than half full. Service staff just told us to wait,1
"Closed for new orders by 730pm on a Sunday.  Not exactly acceptable for f&b isn't it.
Outlet is clean.",1
Doesn't serve food after 6 even tho it opens till 8.,1
Horrible espresso and cappuccino!!!! Bread and pastry seems old....maybe coming from the other branches � …,1
"rude staff, very bad attitude, terrible service - would give 0 stars if i can",1
"very frustrating experience, terrible place",1
"Just collected a cake ordered online through the main website. I understand if the cake came from HQ kitchen instead of the outlet but how the staff - a senior lady in particular, handled the situation today was downright disgusting. …",1
"Visited the store last week (wk of august 2). Still in the midst of heightened alert in Singapore. Hence no dine-in. Whilst deciding on my cake to purchase, another customer entered the store to place order for food. When I was done, I …",1
"Saw ""Burmese shan tofu"" in the menu & happily ordered. Turned out it was such a disappointment, totally unable to eat at all even as a Myanmar national. Literally a disgrace to burmese food. It is actually bean curd dressing in western style sauce, not even tofu.",1
"Ordered my Christmas set for collection at 5pm-7pm but it was not ready for collection when I reached. When asked, staff just ignored and said that the delivery will be between 5pm-7pm. Waited with like 30 other people all. No response from …",1
Ordered a chocolate matcha cake for my godson and realised that there was obvious baking defect (at the side of the cake) when the cake was taken out from the box. Feedback to the manager (Ian) few days later (with the photo sent to him). …,1
"TL;DR - Premium prices for a hack job.

Worst experience among Cedele outlets I’ve been to. Understaffed, dirty wet …",1
"UPDATE ON NOV 2019: Cedele has brought back their star manager, Voon. Their service and outlet performance went downhill over the last 2 years with TERRIBLE  managers that killed their crew and customers. With Voon back, the entire staff …",1
"I dined at your restaurant this afternoon and bought cappuccino, lychee green tea and chiffon cake x 2 for close to $20. When I asked to join the membership for $25 in order to utilize the vouchers on the spot, I was told to do it online …",1
$27 for a very tiny piece of salmon and a few pieces of green beans. Mushroom soup tastes awful with more potato than mushrooms. It was extremely bland. Staff was impatient when we just ordered but had no qualms entertaining a couple for 15 …,1
"I have 3 order at cedele today, i waited for 30 min and when i ask the staff, i was told to wait then when i inform them that the order is just a cake the staff ask me ""hushh"" seem lile asl me to keep quiet. Its so rude for the staff to …",1
Staff packed 5 slices of cakes instead of 6 and was rude when we alerted them of the mistake. …,1
"GrabMart: The store accepted orders on CNY eve even though it was closed. The driver went all the way to the restaurant which affected his earnings.
It is irresponsible of the store to not have updated their store hours and wasted everyone’s time (me, support team, driver).",1
"Terrible customer service!!

The story goes like this, walked in, the guy who serve me doesn’t even bother to …",1
So upset!!! Hair was found on the cake and the blessing birthday wishes wordings have been missed.,1
I can't put 0 star. Too bad. Food panda order still not delivered after 90minutes wait while order was expected in 30. Wait time keep increasing. Nobody in Cedele picking up the phone (as always with this Greenwich branch). Looks like …,1
"Today, the service was 5/5 (a vast hike from the terrible service in the last 2.5 years). …",1
"They hang up the phone no matter what time you call and when you turn up and tell them the phone is perpetually busy, they offered the same excuse twice, that the battery on the phone is weak or that the call was during their busy time (3 …",1
Service is abysmal. Don't come here even if it's the last place with coffee in the neighborhood. Drink water instead.,1
"Poor service, staff attitude problem while serving hot coffee beside toddler when there is space to serve the other side. Pancakes served ugly, no plating and looks like a kid cooking",1
"Customer service is extremely poor. Staff at this outlet are very rude,  and dont even know how to smile. I have been to this outlet several times and have never been greeted politely.",1
Food is wayyyyyy overpriced! $11 for kids pasta and the portion is not even for kid who can eat slightly more. Staff are not friendly.,1
"Item ordered OOS, staff changed to another item without informing. Food was average and expensive. Staff wasn’t friendly.",1
"Found a fly in the salad, rlly ruined my dinner experience.",1
"Terrible butter and chocolate croissant still raw inside !
-Poor cappuccino
-poor customer service
Not coming back.",1
"Food not worthy of the price at all, standard dropped.",1
