combined,sentiment
"Wanted to find a place to sit down and ordered the only ice tea on the menu. I asked for less ice and the staff duly gave me a cup that is about 80% full saying that usually the empty space was to be filled with ice. So never mind, I said …",2
"Being a firm supporter of Cedele for many years for their wide range of delicious baked goods, breads and meals. This may not be the most classy or polished location, but the reliable food items are available and it’s a convenient location at an MRT station.",4
Love coming here. The staff are super nice and the vibe is chill. Their coffee is nice and they have coffee/tea + cake/pastry sets which are perfect for afternoon tea. I think they also have all day breakfast sets with coffee/tea which my …,5
favourite place for a cuppa while our special child has his intervention programme at Music Theory Montessori centre next to King Albert Park MRT.,5
"Was served by a female staff in her 40s and was treated differently compared to a customer who came after me. When I approached her with my order courteously, she just went, ""TraceTogether"" with a completely deadpan expression. Just as I …",1
"I ordered a sriracha mayo chicken, avocado sandwich. I guess the ingredients were healthy but the whole sandwich was dry. I couldn't taste the sriracha or the heat of it. Likely the amount of sauce was inadequate. It was partly compensated …",2
Average coffee and cookies served. Quiet store with 2 friendly staff. Closes early (7 pm on weekdays).,3
Went to order a birthday cake and was assisted by a helpful and friendly staff May. Clean and cozy outlet to chill and relax in.,5
Edited update- After few days the review below was posted I received an email from their online team to address the issue we faced. We exchanged several emails and the company refund in full to us due to the reason of “under standard “ …,1
"Rude older lady staff, with a history of making mistakes when preparing food orders for takeaway. No avocado in the ""smoked salmon and avocado"" sandwich. The Hillview outlet is much better",2
Auntie serving was okay. Efficient service was not too busy when we went at 10:30 on a Friday morning amazing selection of cakes and the cappuccino was awesome!,3
"So we all know Celele well, we have been to all their branches.. good healthy food that keeps us coming back. …",4
Waited 30 mins and food not here. Restaurant was less than half full. Service staff just told us to wait,1
Love the new sime darby centre makeover . Pleased that Cedele has come here !,5
"Love ordering and collecting my cakes at this Cedele branch. The staff are polite, friendly and efficient. Glad that they opened a branch here. Thank you",5
Quiet corner for a cuppa & snack/meal. Service is polite and respectful. The cakes- ondeh-ondeh & Gula melaka- are special & very tasty. Their organic expresso's are a good way to chill out.,4
"Decent coffees and nice cakes..but staff, could be a little less lazy. Uncleared tables aplenty and staff chatting away behind the counter.",3
"Closed for new orders by 730pm on a Sunday.  Not exactly acceptable for f&b isn't it.
Outlet is clean.",1
Felt that the sandwiches and the bagels weren't that great... rather dry and hard.,2
"Matcha latte was quite clumpy, not well dissolved.",2
"The place is good. Coffee isn't the best, but there I met Pavlova dessert first time.",4
Doesn't serve food after 6 even tho it opens till 8.,1
Horrible espresso and cappuccino!!!! Bread and pastry seems old....maybe coming from the other branches � …,1
Went on a sunday afternoon and is quiet. A nice place to chill. Staff is friendly and nice,4
"rude staff, very bad attitude, terrible service - would give 0 stars if i can",1
